employee_id,gender,age,department,work_model,sleep_hours_avg,work_hours_avg,meeting_hours_avg,breaks_per_day,distractions_per_hour,years_experience,remote_tenure,job_level,team_size,tasks_completed_weekly,response_time_avg,delivery_rate_pct,system_engagement_pct,work_life_balance_ratio,productivity_index,performance_rating,turnover_risk,is_high_turnover,salary
E089,Male,47.0,IT,Remote,6.39,7.54,1.74,2.66,4.48,10.0,2.5,2,16,47,12.7,82.8,67.5,0.4095119898116481,65.2,62.4,0.564,0,58141.4249052177
E090,Male,35.0,Marketing,Hybrid,6.94,7.84,1.73,2.48,4.19,14.0,0.0,1,19,44,16.2,70.0,54.0,0.5166633716556678,55.6,55.5,0.509,0,57374.91927084835
E091,Male,34.0,Management,Hybrid,7.03,7.44,3.63,3.14,4.09,13.0,2.9,3,4,41,26.2,92.5,62.6,0.5728538774674021,59.8,61.5,0.432,0,57016.082076050145
E092,Female,40.0,Sales,In-office,6.39,6.96,2.47,2.55,3.89,16.0,0.2,2,11,37,11.8,80.0,62.0,0.5874322495266444,41.7,45.6,0.461,0,60609.83241667008
E093,Male,29.0,IT,Remote,7.36,8.15,2.27,2.37,3.3,0.0,0.0,5,13,48,19.9,76.7,59.4,0.5988973453061324,60.5,60.6,0.366,0,59252.10492294285
E094,Male,34.0,Sales,Hybrid,7.9,6.82,1.26,3.72,2.84,6.0,1.9,5,12,49,16.4,84.6,59.5,0.7836168926701116,54.9,54.8,0.2,0,61416.14739601521
E095,Female,41.0,HR,Hybrid,7.88,8.04,3.14,1.13,3.58,12.0,0.9,4,8,39,21.2,75.4,69.9,0.6033945923433921,67.8,70.2,0.377,0,63259.37223180897
E096,Male,34.0,Sales,In-office,7.07,7.9,2.87,2.5,2.17,4.0,1.4,2,7,41,17.6,83.2,58.6,0.608824252593394,70.6,66.3,0.318,0,62076.73013105398
E097,Female,42.0,IT,Remote,6.44,7.05,2.95,3.54,3.37,0.0,0.0,3,6,49,21.7,86.1,73.6,0.6288060138532288,56.9,56.2,0.386,0,55308.26153702063
E098,Female,33.0,Support,Remote,7.15,9.23,3.06,1.6,2.75,7.0,4.6,5,9,62,15.1,85.6,63.1,0.5420527636089945,64.9,61.9,0.471,0,55298.983965749176
E099,Male,42.0,IT,Remote,7.05,6.81,2.65,3.39,3.32,14.0,2.0,2,17,41,17.7,76.3,54.5,0.704255672832123,62.7,64.5,0.296,0,58493.145239845726
E100,Male,45.0,Marketing,In-office,6.79,6.75,0.95,2.79,3.35,18.0,0.0,5,6,54,9.8,85.9,63.9,0.6312706433312427,55.5,57.4,0.357,1,55141.600807106995
E101,Male,29.0,IT,Hybrid,7.13,9.52,2.07,1.33,4.48,15.0,2.2,2,15,46,19.6,87.1,53.7,0.27823146289747924,56.7,58.0,0.651,0,53248.532642594924
E102,Male,36.0,Support,Remote,7.26,9.5,2.92,2.93,3.87,7.0,2.8,1,15,47,16.0,82.0,71.5,0.39196773386173206,56.9,59.9,0.587,0,58118.24992141039
E103,Female,32.0,Marketing,Remote,7.06,10.25,1.49,2.71,4.71,5.0,4.5,4,10,57,14.8,74.7,69.9,0.25686427417366153,55.1,54.7,0.726,1,44024.29727854257
E104,Female,38.0,Marketing,Hybrid,5.95,7.64,2.36,1.71,1.2,13.0,2.1,2,9,48,20.6,80.6,69.9,0.623886136538919,59.6,55.6,0.336,1,61608.90771007171
E105,Female,30.0,Marketing,Remote,7.08,8.24,2.37,2.89,4.67,7.0,3.9,1,8,41,15.7,74.6,52.1,0.4329357144166995,47.0,48.2,0.559,1,51278.07229263452
E106,Male,42.0,Sales,In-office,7.0,7.18,2.48,2.24,2.98,9.0,0.4,2,15,45,18.4,78.5,72.8,0.6732025428407269,55.6,55.9,0.347,0,58128.62384870591
E107,Female,38.0,Management,In-office,6.64,9.11,4.22,3.54,1.67,13.0,0.3,5,11,56,12.4,74.8,64.0,0.6693092950605265,62.7,64.6,0.425,1,55472.818227283395
E108,Female,35.0,IT,Hybrid,7.72,8.16,1.78,1.65,3.9,14.0,2.5,4,7,45,15.4,77.7,62.9,0.5757288906415919,64.2,67.7,0.433,0,54418.02769096055
E109,Female,37.0,Sales,In-office,6.57,5.98,1.93,2.62,3.36,8.0,1.2,3,11,42,17.8,71.9,50.9,0.6928775195361382,46.8,45.8,0.32,1,60545.56488383448
E110,Male,39.0,Management,Remote,7.01,8.88,3.24,3.46,5.9,9.0,4.1,2,15,43,11.9,69.8,57.9,0.2742777042116917,55.4,55.3,0.722,1,45847.149650766885
E111,Male,24.0,Support,Remote,7.01,7.65,2.74,2.31,4.72,12.0,3.9,5,5,59,7.0,85.8,62.3,0.37506143923504787,53.3,53.8,0.529,0,54941.370477339515
E112,Male,33.0,Support,Remote,6.53,7.34,2.92,2.6,3.55,14.0,2.1,4,19,43,12.6,72.2,69.7,0.5716743062275391,55.7,59.1,0.427,0,57039.285671652586
E113,Female,29.0,HR,Hybrid,7.31,7.52,2.83,2.06,4.55,6.0,2.8,2,14,37,21.0,83.0,58.1,0.5260115104970513,53.2,52.9,0.477,1,54973.15585940077
E114,Female,36.0,Management,In-office,5.88,6.45,3.25,2.95,4.41,7.0,1.1,4,10,50,15.5,82.1,43.9,0.6491621056242644,51.3,52.2,0.474,0,53057.30901387521
E115,Male,38.0,Management,In-office,7.69,7.0,4.21,2.34,0.0,4.0,0.0,5,19,46,14.8,86.0,64.5,0.9043819517609439,69.6,67.9,0.086,0,65689.686008295
E116,Female,47.0,Marketing,Hybrid,6.54,7.89,2.64,2.33,4.32,4.0,2.5,2,12,41,20.3,79.2,59.6,0.4650773671166806,48.4,45.4,0.55,1,55766.173677477265
E117,Male,36.0,HR,Hybrid,6.67,9.17,3.27,3.18,2.58,13.0,2.4,1,14,40,19.5,87.1,53.5,0.4992644115147378,65.1,68.7,0.499,0,56532.75156287314
E118,Female,29.0,Sales,Hybrid,6.67,8.71,3.38,2.89,3.71,13.0,3.1,4,7,56,13.4,85.8,62.3,0.3825660981190233,57.9,59.1,0.559,1,50297.334265604346
E119,Female,44.0,Marketing,In-office,6.98,8.91,2.35,3.17,3.78,7.0,0.6,1,11,37,20.6,80.5,50.3,0.525141140725751,57.3,52.1,0.532,1,54337.99691628768
E120,Male,35.0,Sales,In-office,7.24,9.19,2.63,2.15,2.27,11.0,0.0,5,8,52,14.9,80.2,73.2,0.6205966516343386,67.3,70.3,0.417,1,59744.16137011537
E121,Female,39.0,Management,In-office,7.1,8.21,3.65,2.61,1.64,15.0,0.0,5,11,44,18.0,84.3,67.1,0.7285515973521524,64.9,63.9,0.311,0,55661.784156635884
E122,Male,46.0,HR,Hybrid,8.04,7.67,2.18,1.7,2.79,18.0,1.3,3,8,36,17.5,82.8,73.5,0.7135306272602631,61.5,60.3,0.241,0,64400.08057713981
E123,Male,32.0,IT,Remote,6.9,9.66,1.99,4.99,4.4,13.0,2.1,5,18,47,13.3,71.6,68.0,0.41413971554680495,54.6,53.7,0.656,0,48332.12872316246
E124,Female,30.0,HR,Remote,7.97,6.84,2.88,3.6,5.19,18.0,2.9,3,9,53,15.8,82.4,56.2,0.5399074468603859,65.4,63.2,0.39,0,60011.79600577948
E125,Female,40.0,Marketing,Hybrid,7.74,8.57,2.81,3.7,4.08,0.0,0.0,4,15,47,18.0,81.7,60.9,0.5633428546900136,54.0,54.4,0.466,0,53730.22253037245
E126,Male,40.0,Marketing,In-office,6.44,8.59,2.03,1.29,2.85,12.0,0.3,3,5,49,19.5,75.6,59.0,0.604522781290499,57.8,51.3,0.505,0,49435.353698006445
E127,Female,34.0,Marketing,Remote,7.64,8.01,2.75,2.15,5.39,16.0,4.1,4,6,57,17.3,85.3,57.1,0.3924731837434655,61.5,63.7,0.558,1,48377.372686350514
E128,Female,28.0,Management,In-office,7.15,11.07,3.48,3.44,0.77,14.0,1.0,1,7,37,20.5,81.7,65.9,0.5166851135198613,68.3,68.9,0.455,0,56494.25483998415
E129,Male,33.0,Marketing,Hybrid,5.56,8.36,2.53,3.07,2.08,15.0,0.7,4,14,47,13.7,90.6,64.4,0.49898256825438203,55.0,55.6,0.506,0,55599.16750516445
E130,Female,47.0,HR,Remote,7.31,10.92,2.39,2.87,3.78,12.0,4.7,4,15,46,15.0,74.9,53.7,0.29082621729419,67.4,65.9,0.684,1,46767.05012468677
E131,Female,34.0,Management,Remote,7.45,9.2,3.86,2.83,4.19,5.0,4.8,4,7,44,16.8,79.4,63.9,0.38846682844669334,53.4,53.5,0.534,1,55895.777376332124
E132,Male,35.0,IT,Hybrid,6.64,9.01,2.38,1.73,4.09,10.0,0.5,4,8,49,17.9,78.2,63.5,0.37842814874030134,54.1,52.6,0.625,1,46265.43981319312
E133,Male,31.0,Marketing,Remote,6.61,6.63,3.16,3.19,3.61,14.0,3.5,1,13,48,19.0,82.7,60.7,0.6328848143136947,54.6,56.4,0.314,0,60381.76060405805
E134,Male,43.0,IT,In-office,6.08,6.97,3.12,2.94,3.95,12.0,1.5,1,12,33,14.6,85.2,73.8,0.5366796215317591,51.7,53.6,0.487,0,51756.95140071263
E135,Male,31.0,IT,Hybrid,7.2,9.04,1.71,2.77,3.7,10.0,3.2,4,7,48,15.6,75.2,49.3,0.4140287882883098,60.6,61.6,0.54,1,51844.49167659352
E136,Female,32.0,IT,Hybrid,7.1,7.46,1.8,2.52,1.25,14.0,0.2,5,13,44,9.9,74.9,60.5,0.871496720250877,71.8,70.4,0.206,0,63962.196013949244
E137,Male,44.0,IT,Hybrid,7.29,5.51,1.15,0.5,3.28,10.0,1.9,5,10,53,23.3,80.7,56.8,0.7288373353831882,62.0,62.6,0.232,0,60458.759904148144
E138,Female,27.0,Management,Hybrid,6.88,9.22,4.0,2.66,3.02,15.0,1.7,5,6,51,17.8,82.7,70.0,0.45589692418971617,53.4,52.6,0.528,0,53006.33336731052
E139,Male,39.0,Marketing,Remote,7.27,6.89,2.62,0.91,4.65,12.0,3.0,2,6,51,20.1,80.8,74.5,0.6066758608684836,55.7,57.5,0.434,1,59998.87842764332
E140,Female,40.0,Support,In-office,6.66,7.49,3.62,3.04,1.75,15.0,0.0,1,7,48,21.7,83.3,51.1,0.6334567841783023,65.1,64.7,0.305,0,59119.32439143056
E141,Male,46.0,HR,Remote,7.96,7.77,1.47,2.82,5.66,19.0,0.8,5,14,51,9.3,77.5,56.9,0.5033729967302064,63.3,62.4,0.508,0,57267.07633619542
E142,Male,34.0,Sales,Hybrid,7.05,7.54,2.57,2.29,3.03,12.0,1.3,2,19,47,20.3,72.1,76.4,0.6903571377141214,60.8,63.9,0.375,0,55360.87943602714
E143,Female,33.0,IT,Remote,8.16,7.75,2.02,1.82,3.56,15.0,1.6,5,12,46,13.4,75.0,63.5,0.6266258382719387,68.9,67.8,0.293,0,62799.412533745846
